Season,Team,position,Cost per Position,predicted_position
2016-2017,Ath Bilbao,7,24.657142857142855,11.0
2016-2017,Espanol,8,10.1,12.0
2016-2017,Alaves,9,9.488888888888889,12.0
2016-2017,Eibar,10,6.795,12.0
2016-2017,Malaga ,11,7.663636363636363,12.0
2016-2017,Valencia,12,21.458333333333332,9.0
2016-2017,Celta,13,9.415384615384616,11.0
2016-2017,Las Palmas,14,6.021428571428571,12.0
2016-2017,Betis,15,5.613333333333333,12.0
2016-2017,La Coruna,16,5.875,12.0
2016-2017,Leganes,17,3.126470588235294,13.0
2016-2017,Sp Gijon,18,2.5972222222222223,13.0
2016-2017,Osasuna,19,2.2578947368421054,13.0
2016-2017,Granada,20,3.3225000000000002,12.0
2017-2018,Barcelona,1,1090.0,1.0
2017-2018,Real Madrid,3,318.45,1.0
2017-2018,Ath Madrid,2,355.575,1.0
2017-2018,Valencia,4,99.5125,7.0
2017-2018,Sevilla,7,36.17142857142857,9.0
2017-2018,Ath Bilbao,16,15.5875,9.0
2017-2018,Sociedad,12,19.412499999999998,10.0
2017-2018,Villarreal,5,44.0,10.0
2017-2018,Celta,13,13.311538461538463,11.0
2017-2018,Betis,6,22.041666666666668,11.0
2017-2018,Espanol,11,8.89090909090909,12.0
2017-2018,Las Palmas,19,4.802631578947368,12.0
2017-2018,Girona,10,8.175,12.0
2017-2018,Alaves,14,5.3428571428571425,12.0
2017-2018,La Coruna,18,3.691666666666667,12.0
2017-2018,Getafe,8,8.2,12.0
2017-2018,Levante,15,4.123333333333333,13.0
2017-2018,Eibar,9,6.672222222222222,13.0
2017-2018,Leganes,17,3.4441176470588233,13.0
2017-2018,Malaga,20,2.7600000000000002,13.0
2018-2019,Barcelona,1,1160.0,1.0
2018-2019,Real Madrid,3,298.7,1.0
2018-2019,Ath Madrid,2,484.85,1.0
2018-2019,Valencia,4,124.9125,5.0
2018-2019,Sevilla,6,51.050000000000004,8.0
2018-2019,Villarreal,14,16.475,10.0
2018-2019,Betis,10,29.075,9.0
2018-2019,Ath Bilbao,8,29.28125,10.0
2018-2019,Sociedad,9,33.43888888888889,8.0
2018-2019,Espanol,7,24.957142857142856,11.0
2018-2019,Leganes,13,8.65,12.0
2018-2019,Levante,15,7.1899999999999995,12.0
2018-2019,Celta,17,13.770588235294117,10.0
2018-2019,Eibar,12,7.825,12.0
2018-2019,Getafe,5,26.439999999999998,11.0
2018-2019,Alaves,11,10.072727272727272,12.0
2018-2019,Girona,18,5.402777777777778,12.0
2018-2019,Vallecano,20,4.335,12.0
2018-2019,Huesca,19,3.231578947368421,13.0
2018-2019,Valladolid,16,5.1875,12.0
